STATE/UT,DISTRICT,YEAR,RAPE
JAMMU & KASHMIR,AWANTIPORA,2006,9
JAMMU & KASHMIR,AWANTIPORA,2007,5
JAMMU & KASHMIR,AWANTIPORA,2008,4
JAMMU & KASHMIR,AWANTIPORA,2009,5
JAMMU & KASHMIR,AWANTIPORA,2010,2
JAMMU & KASHMIR,AWANTIPORA,2011,4
JAMMU & KASHMIR,AWANTIPORA,2012,4
UTTAR PRADESH,AZAMGARH,2001,11
UTTAR PRADESH,AZAMGARH,2002,7
UTTAR PRADESH,AZAMGARH,2003,6
UTTAR PRADESH,AZAMGARH,2004,16
UTTAR PRADESH,AZAMGARH,2005,10
UTTAR PRADESH,AZAMGARH,2006,13
UTTAR PRADESH,AZAMGARH,2007,11
UTTAR PRADESH,AZAMGARH,2008,24
UTTAR PRADESH,AZAMGARH,2009,17
UTTAR PRADESH,AZAMGARH,2010,23
UTTAR PRADESH,AZAMGARH,2011,28
UTTAR PRADESH,AZAMGARH,2012,19
UTTAR PRADESH,BADAUN,2001,47
UTTAR PRADESH,BADAUN,2002,31
UTTAR PRADESH,BADAUN,2003,31
UTTAR PRADESH,BADAUN,2004,35
UTTAR PRADESH,BADAUN,2005,22
UTTAR PRADESH,BADAUN,2006,29
UTTAR PRADESH,BADAUN,2007,11
UTTAR PRADESH,BADAUN,2008,11
UTTAR PRADESH,BADAUN,2009,29
UTTAR PRADESH,BADAUN,2010,22
UTTAR PRADESH,BADAUN,2011,18
UTTAR PRADESH,BADAUN,2012,24
HIMACHAL PRADESH,BADDIPOLICEDIST,2009,2
HIMACHAL PRADESH,BADDIPOLICEDIST,2010,5
HIMACHAL PRADESH,BADDIPOLICEDIST,2011,8
HIMACHAL PRADESH,BADDIPOLICEDIST,2012,12
BIHAR,BAGAHA,2001,25
BIHAR,BAGAHA,2002,23
BIHAR,BAGAHA,2003,21
BIHAR,BAGAHA,2004,23
BIHAR,BAGAHA,2005,8
BIHAR,BAGAHA,2006,27
BIHAR,BAGAHA,2007,38
BIHAR,BAGAHA,2008,15
BIHAR,BAGAHA,2009,8
BIHAR,BAGAHA,2010,10
BIHAR,BAGAHA,2011,16
BIHAR,BAGAHA,2012,11
KARNATAKA,BAGALKOT,2001,2
