STATE/UT,DISTRICT,YEAR,KIDNAPPING & ABDUCTION
CHHATTISGARH,BALOD,2012,7
CHHATTISGARH,BALODA BAZAR,2012,18
CHHATTISGARH,BALRAMPUR,2001,1
CHHATTISGARH,BALRAMPUR,2002,3
CHHATTISGARH,BALRAMPUR,2003,4
CHHATTISGARH,BALRAMPUR,2004,6
CHHATTISGARH,BALRAMPUR,2005,5
CHHATTISGARH,BALRAMPUR,2006,1
CHHATTISGARH,BALRAMPUR,2007,2
CHHATTISGARH,BALRAMPUR,2008,7
CHHATTISGARH,BALRAMPUR,2009,10
CHHATTISGARH,BALRAMPUR,2010,12
CHHATTISGARH,BALRAMPUR,2011,2
CHHATTISGARH,BALRAMPUR,2012,5
UTTAR PRADESH,BALRAMPUR,2001,20
UTTAR PRADESH,BALRAMPUR,2002,13
UTTAR PRADESH,BALRAMPUR,2003,7
UTTAR PRADESH,BALRAMPUR,2004,7
UTTAR PRADESH,BALRAMPUR,2005,5
UTTAR PRADESH,BALRAMPUR,2006,15
UTTAR PRADESH,BALRAMPUR,2007,17
